Adresse_parcelle,Année,COMMU_LAB,Moyenne de mnt.exposition_mean,Moyenne de mnt.ombrage_mean,Moyenne de mnt.pente_mean,Moyenne de mnt.tpi_mean,Moyenne de mnt.tri_mean,Moyenne de moyenne_pulviometrie,Moyenne de Taux_chlordecone,Parcelle_cadastrale
"10, Lot. La Caraebe",2017,CASE-PILOTE,179.228258775,127.032934325,35.232088739999995,0.3309072755,6.8034543895,"1562,50",0.001,"9,72E+132"
"10, Lot. PoCannelle",2018,LORRAIN(LE),79.38230041666667,157.4363893,19.697877193333333,1.8482092203333333,4.189508666,,,""
"10, Tivoli",2017,FORT-DE-FRANCE,104.75899568142857,129.23663274285715,29.880634227142856,-3.8240070189999997,6.114602843428572,,,""
101 Impasse de la station,2018,SAINTE-MARIE,129.18604072333332,192.363842675,11.764748335833334,-0.8319559288333332,2.4531044069166668,,,""
"102, Impasse Riviere",2017,LAMENTIN(LE),218.92625423076922,181.51293461538458,9.949532785769229,-0.28577675984615386,2.472154818769231,,,""
104 Impasse des Anges,2018,SAINTE-MARIE,115.2370025625,150.497059325,16.843518305000003,-1.569116221375,3.527151105,,,""
"108, Post Colon",2017,FORT-DE-FRANCE,146.1172568,152.1823689,15.082421385,1.615324471,3.1445066155,,,""
11 rue du Vent Marin,2017,SAINTE-MARIE,116.6240832,116.50992389999999,33.822870429999995,-1.786562488,6.5648307715000005,,,""
"11, allee du Gingembre",2018,DIAMANT(LE),113.62483175,162.47178021666664,10.341040938666666,-0.6496660639999999,2.0518577418333335,,,""
"11, Avenue Franeois Mitterrand",2019,DUCOS,146.13441446,159.35012455999998,12.464267978,0.3788703954,2.4407131214,"1750,00",0.001,""
"11, Impasse Christophine",2017,LAMENTIN(LE),180.1944254,155.9520494,17.382803513333332,-0.6790277539999999,3.2599683223333336,,,""
"11, Lot. La Falaise",2017,AJOUPA BOUILLON,73.770138835,173.4124754,7.437979543999999,0.09532172450000001,1.5190643449999999,"3250,00",0.3277,9722010000D0535
"11, rue des ruisseaux",2017,SAINT-PIERRE,239.78449315,190.14401125,9.7643783065,-0.1899130735,2.0565015375,"2500,00",0.001,9722250000C0616
110 Impasse fleur brisee,2018,SAINTE-MARIE,42.33929998083333,179.9505871416667,19.324275191666665,1.2168202927500003,4.347485664000001,,,""
110 Tivoli Post Colon,2019,FORT-DE-FRANCE,97.11799844960002,143.50596627919998,26.452087835280004,2.1832674258,6.0036773099200005,"2500,00",0.0031279999999999997,""
1129 Chemin Acajou Prolonge,2018,DUCOS,195.22241775555554,161.28492496666667,18.887700074444446,-1.1971517854444444,4.062990606333333,"1750,00",0.001,""
1129 Chemin Acajou Prolonge,2018,LAMENTIN(LE),228.6455637111111,180.57225217777778,14.821319617333334,0.18922374744444445,2.810345983,"2500,00",0.001,""
116 Chemin Maduva,2019,LAMENTIN(LE),187.51705635833335,171.954652875,7.425039699833334,-0.19502115333333334,1.4584283209166669,,,""
"1170, rue des orangers",2017,DUCOS,5.251849406750001,191.8103384,11.005296594999999,-0.04792877950000002,2.1306178465,"1750,00",0.001,972207000AC0417
"12, Morne des Cadets",2018,SAINT-PIERRE,259.119927325,193.13982475,27.886094471000003,5.4091924225,8.0041584875,"2500,00",0.001,""
120 Hauteur Bourdon,2018,BASSE-POINTE,90.74487078142855,158.06180872142858,21.991012262857144,-0.11083173199999997,4.858543433928572,"3250,00",0.0226,""
124 Impasse Lepini,2018,LAMENTIN(LE),269.71057297000004,196.93590341,14.862865020000001,0.07134670679999995,2.9851490059,,,""
"126, Hauteurs Bourdon",2017,BASSE-POINTE,91.98408240599998,136.13553225,29.555706803999993,0.3059653516,5.5423325315,"3250,00",0.011899999999999997,9722030000L0089
"126, Impasse Chetaigne France",2017,SAINTE-MARIE,269.970951075,200.98633710000001,18.62828412,-0.6297140932499999,3.8325523032499995,,,""
"128, Lot. La Caraebe",2017,CASE-PILOTE,165.84765975,158.6969911,14.004076320000001,2.5696842025,3.268066725,"1750,00",0.001,9722050000E0610
"1298, Route de Durivage",2019,DUCOS,309.3473392166666,213.31180045,21.853254609999997,-0.18175339633333332,4.2928082065833335,"1750,00",0.0010000000000000002,""
"1298, Route de Durivage",2019,RIVIERE-SALEE,81.05680269727272,170.25515630909092,11.01586633172727,1.2020666342727273,2.3458447577272725,"1750,00",0.0010000000000000002,""
13 rue Cacaoyer,2018,BASSE-POINTE,39.18593701,181.0943069,7.4600333459999995,0.097642328,1.347642328,,,""
